,route_id,average_speed,month_year
312,B44+,9.881606,05/2021
313,B44+,8.500171,06/2021
314,B44+,8.790255,06/2021
315,B44+,8.549722,06/2021
316,B44+,9.2582855,06/2021
317,B44+,9.724132,06/2021
318,B44+,9.00284,07/2021
319,B44+,8.761147,07/2021
320,B44+,9.622343,07/2021
321,B44+,9.937784,07/2021
322,B44+,8.812234,08/2021
323,B44+,8.72065,08/2021
324,B44+,9.450607,08/2021
325,B44+,9.715557,08/2021
326,B44+,8.1412,09/2021
327,B44+,8.7557335,09/2021
328,B44+,8.435466,09/2021
329,B44+,8.988191,09/2021
330,B44+,9.373861,09/2021
331,B44+,8.063183,10/2021
332,B44+,8.464773,10/2021
333,B44+,7.996584,10/2021
334,B44+,9.23295,10/2021
335,B44+,9.3678875,10/2021
336,B44+,8.308071,11/2021
337,B44+,8.549631,11/2021
338,B44+,8.029508,11/2021
339,B44+,9.283057,11/2021
340,B44+,9.596873,11/2021
341,B44+,8.118324,12/2021
342,B44+,8.78271,12/2021
343,B44+,8.335955,12/2021
344,B44+,9.4394655,12/2021
345,B44+,9.648416,12/2021
346,B44+,8.483638,01/2022
347,B44+,8.795345,01/2022
348,B44+,8.223331,01/2022
349,B44+,9.438596,01/2022
350,B44+,9.534355,01/2022
351,B44+,8.319093,02/2022
352,B44+,8.664486,02/2022
353,B44+,8.0703535,02/2022
354,B44+,9.434764,02/2022
355,B44+,9.689792,02/2022
356,B44+,8.431017,03/2022
357,B44+,8.6946745,03/2022
358,B44+,8.285782,03/2022
359,B44+,9.4382925,03/2022
360,B44+,9.71606,03/2022
361,B44+,8.132609,04/2022
362,B44+,8.800084,04/2022
363,B44+,8.51777,04/2022
364,B44+,9.278053,04/2022
365,B44+,9.744985,04/2022
366,B44+,7.8608093,05/2022
367,B44+,8.664757,05/2022
368,B44+,8.225269,05/2022
369,B44+,9.208981,05/2022
370,B44+,9.591681,05/2022
371,B44+,8.111417,06/2022
372,B44+,8.63695,06/2022
373,B44+,8.4545765,06/2022
374,B44+,9.208289,06/2022
375,B44+,9.58479,06/2022
376,B44+,9.00403,07/2022
377,B44+,8.921074,07/2022
378,B44+,9.681258,07/2022
379,B44+,9.963884,07/2022
380,B44+,8.987453,08/2022
381,B44+,8.930034,08/2022
382,B44+,9.459029,08/2022
383,B44+,9.736332,08/2022
384,B44+,7.6330333,09/2022
385,B44+,8.404117,09/2022
386,B44+,8.035979,09/2022
387,B44+,8.961398,09/2022
388,B44+,9.40587,09/2022
389,B44+,7.8239264,10/2022
390,B44+,8.635296,10/2022
391,B44+,8.1633835,10/2022
392,B44+,9.068301,10/2022
393,B44+,9.295497,10/2022
394,B44+,7.838561,11/2022
395,B44+,8.54562,11/2022
396,B44+,8.050447,11/2022
397,B44+,9.109873,11/2022
398,B44+,9.337077,11/2022
399,B44+,7.6508555,12/2022
400,B44+,8.609923,12/2022
401,B44+,8.250811,12/2022
402,B44+,9.384379,12/2022
403,B44+,9.537313,12/2022
404,B44+,8.196646,01/2023
405,B44+,8.850539,01/2023
406,B44+,8.375817,01/2023
407,B44+,9.561756,01/2023
408,B44+,9.672119,01/2023
409,B44+,8.120275,02/2023
410,B44+,8.755666,02/2023
411,B44+,8.349035,02/2023
412,B44+,9.555453,02/2023
413,B44+,9.696779,02/2023
414,B44+,8.150362,03/2023
415,B44+,8.614764,03/2023
416,B44+,8.246972,03/2023
417,B44+,9.259576,03/2023
418,B44+,9.566909,03/2023
419,B44+,8.204361,04/2023
420,B44+,8.964727,04/2023
421,B44+,8.6576395,04/2023
422,B44+,9.172418,04/2023
423,B44+,9.497751,04/2023
424,B44+,8.223895,05/2023
425,B44+,8.642798,05/2023
426,B44+,8.302325,05/2023
427,B44+,9.006649,05/2023
428,B44+,9.410227,05/2023
429,B44+,7.9576554,06/2023
430,B44+,8.717964,06/2023
431,B44+,8.494884,06/2023
432,B44+,9.051541,06/2023
433,B44+,9.4372425,06/2023
434,B44+,9.036433,07/2023
435,B44+,8.732859,07/2023
436,B44+,9.475907,07/2023
437,B44+,9.771839,07/2023
438,B44+,8.909624,08/2023
439,B44+,8.678488,08/2023
440,B44+,9.262514,08/2023
441,B44+,9.558649,08/2023
442,B44+,7.708865,09/2023
443,B44+,8.361867,09/2023
444,B44+,8.021509,09/2023
445,B44+,9.052022,09/2023
446,B44+,9.292106,09/2023
447,B44+,7.960758,10/2023
448,B44+,8.568972,10/2023
449,B44+,8.15488,10/2023
450,B44+,8.993443,10/2023
451,B44+,9.278924,10/2023
452,B44+,7.8421426,11/2023
453,B44+,8.565212,11/2023
454,B44+,8.0922575,11/2023
455,B44+,9.175971,11/2023
456,B44+,9.403824,11/2023
457,B44+,7.9273977,12/2023
458,B44+,8.6535015,12/2023
459,B44+,8.267712,12/2023
460,B44+,9.299453,12/2023
461,B44+,9.46971,12/2023
462,B44+,8.299536,01/2024
463,B44+,8.676522,01/2024
464,B44+,8.193019,01/2024
465,B44+,9.458479,01/2024
466,B44+,9.674517,01/2024
467,B44+,7.768403,02/2024
468,B44+,8.79508,02/2024
469,B44+,8.306879,02/2024
470,B44+,9.367408,02/2024
471,B44+,9.450667,02/2024
472,B44+,8.054452,03/2024
473,B44+,8.58103,03/2024
474,B44+,8.177396,03/2024
475,B44+,9.121958,03/2024
476,B44+,9.412341,03/2024
477,B44+,7.6204767,04/2024
478,B44+,8.723164,04/2024
479,B44+,8.389116,04/2024
480,B44+,9.101213,04/2024
481,B44+,9.418064,04/2024
482,B44+,7.547005,05/2024
483,B44+,8.490986,05/2024
484,B44+,8.056688,05/2024
485,B44+,8.983709,05/2024
486,B44+,9.368389,05/2024
487,B44+,7.7660756,06/2024
488,B44+,8.500098,06/2024
489,B44+,8.328946,06/2024
490,B44+,8.910674,06/2024
491,B44+,9.317715,06/2024
492,B44+,9.00226,07/2024
493,B44+,8.709082,07/2024
494,B44+,9.536961,07/2024
495,B44+,9.896937,07/2024
496,B44+,8.911446,08/2024
497,B44+,8.697676,08/2024
498,B44+,9.203969,08/2024
499,B44+,9.560664,08/2024
500,B44+,8.108645,09/2024
501,B44+,8.373214,09/2024
502,B44+,7.9143996,09/2024
503,B44+,8.912326,09/2024
504,B44+,9.412401,09/2024
505,B44+,8.498726,10/2024
506,B44+,8.7720175,10/2024
507,B44+,8.333136,10/2024
508,B44+,9.015907,10/2024
509,B44+,9.362505,10/2024
510,B44+,8.220541,11/2024
511,B44+,8.652859,11/2024
512,B44+,8.045657,11/2024
513,B44+,9.221058,11/2024
514,B44+,9.355656,11/2024
515,B44+,8.45247,12/2024
516,B44+,8.628102,12/2024
517,B44+,8.205646,12/2024
518,B44+,9.396035,12/2024
519,B44+,9.595919,12/2024
520,B6,7.8653555,01/2020
521,B6,6.876773,01/2020
522,B6,8.23919,01/2020
523,B6,7.8267994,01/2020
524,B6,7.800877,02/2020
525,B6,6.781165,02/2020
526,B6,8.199126,02/2020
527,B6,7.8784757,02/2020
528,B6,8.208137,03/2020
529,B6,7.2754383,03/2020
530,B6,8.54999,03/2020
531,B6,8.251216,03/2020
532,B6,8.790087,04/2020
533,B6,8.409671,04/2020
534,B6,8.677759,05/2020
535,B6,8.251278,05/2020
536,B6,8.791206,05/2020
537,B6,8.426039,05/2020
538,B6,8.569746,06/2020
539,B6,7.8919992,06/2020
540,B6,8.621434,06/2020
541,B6,8.356207,06/2020
542,B6,8.484299,07/2020
543,B6,7.6453314,07/2020
544,B6,8.436374,07/2020
545,B6,8.15841,07/2020
546,B6,8.428058,08/2020
547,B6,7.60196,08/2020
548,B6,8.407664,08/2020
549,B6,8.099745,08/2020
550,B6,8.420596,09/2020
551,B6,7.5542164,09/2020
552,B6,8.538025,09/2020
553,B6,8.084957,09/2020
554,B6,8.341246,10/2020
555,B6,7.3783154,10/2020
556,B6,8.604865,10/2020
557,B6,8.18553,10/2020
558,B6,8.366115,11/2020
559,B6,7.410356,11/2020
560,B6,8.495542,11/2020
561,B6,8.101524,11/2020
562,B6,8.310758,12/2020
563,B6,7.4694023,12/2020
564,B6,8.525749,12/2020
565,B6,8.026551,12/2020
566,B6,8.549539,01/2021
567,B6,7.6916127,01/2021
568,B6,8.592822,01/2021
569,B6,8.208661,01/2021
570,B6,8.224814,02/2021
571,B6,7.3152595,02/2021
572,B6,8.515007,02/2021
573,B6,8.078177,02/2021
574,B6,8.302363,03/2021
575,B6,7.3171167,03/2021
576,B6,8.520989,03/2021
577,B6,8.135371,03/2021
578,B6,8.175263,04/2021
579,B6,7.272689,04/2021
580,B6,8.4248495,04/2021
581,B6,8.131468,04/2021
582,B6,8.097424,05/2021
583,B6,7.215953,05/2021
584,B6,8.362285,05/2021
585,B6,8.09022,05/2021
586,B6,8.086881,06/2021
587,B6,7.2128444,06/2021
588,B6,8.222347,06/2021
589,B6,8.000004,06/2021
590,B6,8.304276,07/2021
591,B6,7.483304,07/2021
592,B6,8.391256,07/2021
593,B6,8.160912,07/2021
594,B6,8.261124,08/2021
595,B6,7.4637923,08/2021
596,B6,8.26968,08/2021
597,B6,8.013845,08/2021
598,B6,7.889768,09/2021
599,B6,7.0805717,09/2021
600,B6,7.9771986,09/2021
601,B6,7.752687,09/2021
602,B6,7.6777678,10/2021
603,B6,6.6931496,10/2021
604,B6,8.117184,10/2021
605,B6,7.8232737,10/2021
606,B6,7.8182473,11/2021
607,B6,6.769449,11/2021
608,B6,8.256887,11/2021
609,B6,7.954943,11/2021
610,B6,7.871965,12/2021
611,B6,6.980891,12/2021
612,B6,8.171018,12/2021
613,B6,7.9032593,12/2021
614,B6,7.992228,01/2022
615,B6,7.062116,01/2022
616,B6,8.254276,01/2022
617,B6,7.7219806,01/2022
618,B6,7.8917904,02/2022
619,B6,6.8868265,02/2022
620,B6,8.308113,02/2022
621,B6,7.9317427,02/2022
622,B6,7.79034,03/2022
623,B6,6.877199,03/2022
624,B6,8.217046,03/2022
625,B6,7.90955,03/2022
626,B6,7.8390775,04/2022
627,B6,6.9743767,04/2022
628,B6,8.154402,04/2022
629,B6,7.8921084,04/2022
630,B6,7.736067,05/2022
631,B6,6.799106,05/2022
632,B6,7.9814563,05/2022
633,B6,7.7042007,05/2022
634,B6,7.836232,06/2022
635,B6,7.019105,06/2022
636,B6,7.9208975,06/2022
637,B6,7.7175207,06/2022
638,B6,8.1920395,07/2022
639,B6,7.423861,07/2022
640,B6,8.160094,07/2022
641,B6,7.9722347,07/2022
642,B6,8.158211,08/2022
643,B6,7.410503,08/2022
644,B6,8.11735,08/2022
645,B6,7.9330063,08/2022
646,B6,7.6297174,09/2022
647,B6,6.765632,09/2022
648,B6,7.9920955,09/2022
649,B6,7.7432933,09/2022
650,B6,7.690692,10/2022
651,B6,6.813819,10/2022
652,B6,7.9469123,10/2022
653,B6,7.6363077,10/2022
654,B6,7.7754974,11/2022
655,B6,6.7690506,11/2022
656,B6,8.036173,11/2022
657,B6,7.698503,11/2022
658,B6,7.772356,12/2022
659,B6,6.8767014,12/2022
660,B6,8.188256,12/2022
661,B6,7.8357377,12/2022
662,B6,7.9558535,01/2023
663,B6,7.0374947,01/2023
664,B6,8.24595,01/2023
665,B6,7.8047843,01/2023
666,B6,7.8784056,02/2023
667,B6,6.937783,02/2023
668,B6,8.191228,02/2023
669,B6,7.7993913,02/2023
670,B6,7.7282715,03/2023
671,B6,6.8581543,03/2023
672,B6,8.033843,03/2023
673,B6,7.747838,03/2023
674,B6,7.953237,04/2023
675,B6,7.1827397,04/2023
676,B6,8.06439,04/2023
677,B6,7.8248467,04/2023
678,B6,7.6875935,05/2023
679,B6,6.8128176,05/2023
680,B6,7.8611016,05/2023
681,B6,7.5991735,05/2023
