month,borough,day_type,trip_type,route_id,period,total_operating_time,total_mileage,average_speed
2025-01-01,Brooklyn,1,LCL/LTD,B6,Off-Peak,9044,71690.984,7.9266677
2025-01-01,Brooklyn,1,LCL/LTD,B6,Peak,4250,29792.578,7.009247
2025-01-01,Brooklyn,2,LCL/LTD,B6,Off-Peak,2208,17957.463,8.130337
2025-01-01,Brooklyn,2,LCL/LTD,B6,Peak,895,6949.538,7.7624207
2025-02-01,Brooklyn,1,LCL/LTD,B6,Off-Peak,8050,63180.285,7.8476605
2025-02-01,Brooklyn,1,LCL/LTD,B6,Peak,3827,26473.428,6.9163647
2025-02-01,Brooklyn,2,LCL/LTD,B6,Off-Peak,2330,18521.855,7.9488516
2025-02-01,Brooklyn,2,LCL/LTD,B6,Peak,957,7396.183,7.720932
2025-03-01,Brooklyn,1,LCL/LTD,B6,Off-Peak,9189,71335.59,7.763078
2025-03-01,Brooklyn,1,LCL/LTD,B6,Peak,4385,30238.523,6.8951554
2025-03-01,Brooklyn,2,LCL/LTD,B6,Off-Peak,2690,21509.588,7.9947076
2025-03-01,Brooklyn,2,LCL/LTD,B6,Peak,1059,8123.288,7.669702
2025-04-01,Brooklyn,1,LCL/LTD,B6,Off-Peak,9329,72955.48,7.8194857
2025-04-01,Brooklyn,1,LCL/LTD,B6,Peak,4479,31485.719,7.0282874
2025-04-01,Brooklyn,2,LCL/LTD,B6,Off-Peak,1648,13287.974,8.058747
2025-04-01,Brooklyn,2,LCL/LTD,B6,Peak,662,5230.038,7.8917994
2025-05-01,Brooklyn,1,LCL/LTD,B6,Off-Peak,8921,68242.766,7.649233
2025-05-01,Brooklyn,1,LCL/LTD,B6,Peak,4330,29557.873,6.8259506
2025-05-01,Brooklyn,2,LCL/LTD,B6,Off-Peak,2471,19418.34,7.856004
2025-05-01,Brooklyn,2,LCL/LTD,B6,Peak,1042,7998.969,7.672132
2025-06-01,Brooklyn,1,LCL/LTD,B6,Off-Peak,8676,67760.055,7.8094497
2025-06-01,Brooklyn,1,LCL/LTD,B6,Peak,4096,29060.652,7.0935717
2025-06-01,Brooklyn,2,LCL/LTD,B6,Off-Peak,2286,17962.27,7.8556166
2025-06-01,Brooklyn,2,LCL/LTD,B6,Peak,935,7169.181,7.6611915
2025-07-01,Brooklyn,1,LCL/LTD,B6,Off-Peak,8051,65335.008,8.114889
2025-07-01,Brooklyn,1,LCL/LTD,B6,Peak,3850,28512.129,7.403917
2025-07-01,Brooklyn,2,LCL/LTD,B6,Off-Peak,2409,19672.352,8.165357
2025-07-01,Brooklyn,2,LCL/LTD,B6,Peak,955,7563.263,7.915551
