month,borough,day_type,trip_type,route_id,period,total_mileage,total_operating_time,average_speed
2021-04-01,Brooklyn,2,LCL/LTD,B41,Off-Peak,13280.051,1768,7.5084295
2021-04-01,Brooklyn,2,LCL/LTD,B41,Peak,4858.674,650,7.4652324
2021-05-01,Brooklyn,1,LCL/LTD,B41,Off-Peak,42557.55,6103,6.9729304
2021-05-01,Brooklyn,1,LCL/LTD,B41,Peak,18686.02,2785,6.708968
2021-05-01,Brooklyn,2,LCL/LTD,B41,Off-Peak,16471.365,2237,7.360048
2021-05-01,Brooklyn,2,LCL/LTD,B41,Peak,6030.299,825,7.3062625
2021-06-01,Brooklyn,1,LCL/LTD,B41,Off-Peak,47075.363,6869,6.853291
2021-06-01,Brooklyn,1,LCL/LTD,B41,Peak,19833.629,3018,6.5713167
2021-06-01,Brooklyn,2,LCL/LTD,B41,Off-Peak,12762.625,1797,7.101364
2021-06-01,Brooklyn,2,LCL/LTD,B41,Peak,4488.684,633,7.0826645
2021-07-01,Brooklyn,1,LCL/LTD,B41,Off-Peak,44797.535,6474,6.9192743
2021-07-01,Brooklyn,1,LCL/LTD,B41,Peak,18689.016,2798,6.678844
2021-07-01,Brooklyn,2,LCL/LTD,B41,Off-Peak,18268.34,2439,7.488783
2021-07-01,Brooklyn,2,LCL/LTD,B41,Peak,7158.107,966,7.4081655
2021-08-01,Brooklyn,1,LCL/LTD,B41,Off-Peak,45173.38,6548,6.89836
2021-08-01,Brooklyn,1,LCL/LTD,B41,Peak,18988.229,2839,6.6867404
2021-08-01,Brooklyn,2,LCL/LTD,B41,Off-Peak,14762.39,1984,7.43857
2021-08-01,Brooklyn,2,LCL/LTD,B41,Peak,5552.11,752,7.3735704
2021-09-01,Brooklyn,1,LCL/LTD,B41,Off-Peak,41341.71,6169,6.7008605
2021-09-01,Brooklyn,1,LCL/LTD,B41,Peak,17295.7,2736,6.319533
2021-09-01,Brooklyn,2,LCL/LTD,B41,Off-Peak,13866.12,1956,7.086748
2021-09-01,Brooklyn,2,LCL/LTD,B41,Peak,5285.956,759,6.959797
2021-10-01,Brooklyn,1,LCL/LTD,B41,Off-Peak,41647.43,6192,6.7256618
2021-10-01,Brooklyn,1,LCL/LTD,B41,Peak,16946.77,2740,6.182812
2021-10-01,Brooklyn,2,LCL/LTD,B41,Off-Peak,16892.867,2344,7.2064757
2021-10-01,Brooklyn,2,LCL/LTD,B41,Peak,5973.363,851,7.0168734
2021-11-01,Brooklyn,1,LCL/LTD,B41,Off-Peak,43118.316,6340,6.80049
2021-11-01,Brooklyn,1,LCL/LTD,B41,Peak,17636.342,2823,6.245494
2021-11-01,Brooklyn,2,LCL/LTD,B41,Off-Peak,14644.719,1965,7.4507504
2021-11-01,Brooklyn,2,LCL/LTD,B41,Peak,5311.494,734,7.2311273
2021-12-01,Brooklyn,1,LCL/LTD,B41,Off-Peak,42082.5,6151,6.8411374
2021-12-01,Brooklyn,1,LCL/LTD,B41,Peak,17331.35,2695,6.4301686
2021-12-01,Brooklyn,2,LCL/LTD,B41,Off-Peak,14652.168,2004,7.3106594
2021-12-01,Brooklyn,2,LCL/LTD,B41,Peak,5296.127,737,7.183194
2022-01-01,Brooklyn,1,LCL/LTD,B41,Off-Peak,38898.973,5507,7.0632453
2022-01-01,Brooklyn,1,LCL/LTD,B41,Peak,16801.29,2600,6.4610868
2022-01-01,Brooklyn,2,LCL/LTD,B41,Off-Peak,17592.19,2296,7.6603403
2022-01-01,Brooklyn,2,LCL/LTD,B41,Peak,6815.253,926,7.354206
2022-02-01,Brooklyn,1,LCL/LTD,B41,Off-Peak,37679.215,5521,6.8235974
2022-02-01,Brooklyn,1,LCL/LTD,B41,Peak,15997.103,2545,6.2838407
2022-02-01,Brooklyn,2,LCL/LTD,B41,Off-Peak,15962.079,2143,7.447056
2022-02-01,Brooklyn,2,LCL/LTD,B41,Peak,5708.577,798,7.150723
2022-03-01,Brooklyn,1,LCL/LTD,B41,Off-Peak,45814.566,6705,6.832669
2022-03-01,Brooklyn,1,LCL/LTD,B41,Peak,19296.467,3046,6.3340507
2022-03-01,Brooklyn,2,LCL/LTD,B41,Off-Peak,13328.588,1802,7.3933935
2022-03-01,Brooklyn,2,LCL/LTD,B41,Peak,4757.342,660,7.2052436
2022-04-01,Brooklyn,1,LCL/LTD,B41,Off-Peak,43370.17,6407,6.768607
2022-04-01,Brooklyn,1,LCL/LTD,B41,Peak,18948.055,2944,6.4360867
2022-04-01,Brooklyn,2,LCL/LTD,B41,Off-Peak,15267.034,2126,7.1779037
2022-04-01,Brooklyn,2,LCL/LTD,B41,Peak,5670.924,784,7.2307415
2022-05-01,Brooklyn,1,LCL/LTD,B41,Off-Peak,43149.184,6391,6.7513185
2022-05-01,Brooklyn,1,LCL/LTD,B41,Peak,18327.127,2880,6.3619046
2022-05-01,Brooklyn,2,LCL/LTD,B41,Off-Peak,15959.3125,2227,7.1652865
2022-05-01,Brooklyn,2,LCL/LTD,B41,Peak,5828.58,832,7.004527
2022-06-01,Brooklyn,1,LCL/LTD,B41,Off-Peak,45564.45,6810,6.6906557
2022-06-01,Brooklyn,1,LCL/LTD,B41,Peak,18980.658,2953,6.4256825
2022-06-01,Brooklyn,2,LCL/LTD,B41,Off-Peak,12902.707,1819,7.0929265
2022-06-01,Brooklyn,2,LCL/LTD,B41,Peak,4435.998,644,6.887215
2022-07-01,Brooklyn,1,LCL/LTD,B41,Off-Peak,43729.58,6328,6.909809
2022-07-01,Brooklyn,1,LCL/LTD,B41,Peak,18151.64,2693,6.7382755
2022-07-01,Brooklyn,2,LCL/LTD,B41,Off-Peak,20152.834,2723,7.400251
2022-07-01,Brooklyn,2,LCL/LTD,B41,Peak,7235.871,989,7.3125
